,id,month,day,hour,latitude,longitude,sea_surface_temp
8557,15025270.0,1.0,1.0,1.17,48.29,-4.97,12.5
9920,17051627.0,1.0,1.0,1.17,18.5,-66.1,12.5
492,3020004.0,1.0,1.0,1.77,-33.92,-130.29,22.3
2245,19050620.0,1.0,1.0,3.0,52.9,-139.8,6.0
8829,10021932.0,1.0,1.0,3.07,26.64,122.66,21.2
2378,21728.0,1.0,1.0,4.0,-11.5,-147.77,27.9
1065,7016485.0,1.0,1.0,5.5,-21.89,-113.99,25.2
1039,5039578.0,1.0,1.0,6.0,38.5,-74.7,10.0
9547,13047735.0,1.0,1.0,6.0,42.59,-87.81,17.200000000000003
7256,4012969.0,1.0,1.0,7.08,35.21,-60.91,20.7
1643,10036946.0,1.0,1.0,9.0,30.4,-87.21,16.4
3119,7039693.0,1.0,1.0,9.33,34.63,-69.67,20.5
9200,14040788.0,1.0,1.0,9.43,-22.41,-34.76,24.9
6672,18058177.0,1.0,1.0,10.0,39.58,-75.59,6.1
2593,14036266.0,1.0,1.0,10.13,60.23,-32.47,6.3
5097,10017626.0,1.0,1.0,11.17,-46.75,151.14,12.4
2606,14049002.0,1.0,1.0,13.0,41.52,-70.67,6.8
3821,10023988.0,1.0,1.0,14.2,21.7,-158.1,24.0
247,15033920.0,1.0,1.0,14.38,-12.57,-88.92,22.2
3032,18679.0,1.0,1.0,15.0,41.3,-72.1,9.4
7148,15045685.0,1.0,1.0,15.0,17.0,-81.7,16.225
5323,8024761.0,1.0,1.0,17.0,-2.02,155.98,29.3
4526,4026068.0,1.0,1.0,19.67,32.33,162.59,18.9
3950,19064018.0,1.0,1.0,19.83,22.17,122.76,24.3
7528,18036879.0,1.0,1.0,19.83,33.4,-77.7,18.8
2866,12025949.0,1.0,1.0,21.0,44.45,-30.44,13.8
96,2003897.0,1.0,1.0,21.97,31.21,155.07,19.3
2678,1015413.0,1.0,1.0,22.0,38.87,-77.02,6.4
8778,11030098.0,1.0,1.0,22.67,-38.89,76.29,16.8
634,13083414.0,1.0,2.0,0.0,26.05,-81.7,16.83879310344828
2045,7066769.0,1.0,2.0,0.0,12.8,-17.5,22.8
5889,18064923.0,1.0,2.0,0.58,18.4,-67.3,17.031090100111236
1606,14061595.0,1.0,2.0,0.72,35.88,-145.2,17.5
3165,5056829.0,1.0,2.0,3.0,-1.61,90.11,28.6
4492,15083765.0,1.0,2.0,4.0,25.9,-77.8,26.4
3830,5055570.0,1.0,2.0,4.33,27.2,-82.9,17.64271094867313
4555,13059003.0,1.0,2.0,5.93,5.38,-173.45,27.8
1496,13071251.0,1.0,2.0,6.03,34.5,-120.8,13.3
4439,1041596.0,1.0,2.0,6.17,-32.63,-102.34,20.7
4558,10062885.0,1.0,2.0,7.32,41.0,-73.6,17.87019472185212
4859,13060259.0,1.0,2.0,8.35,-44.32,146.17,16.5
1260,7053517.0,1.0,2.0,8.83,-24.96,48.85,26.4
9803,9067946.0,1.0,2.0,9.0,-5.2,150.3,30.3
1030,17080083.0,1.0,2.0,9.75,41.0,-73.6,18.32576253195546
7759,13073214.0,1.0,2.0,10.17,36.57,-32.62,18.8
95,7051308.0,1.0,2.0,11.0,-30.98,100.91,19.9
759,1049502.0,1.0,2.0,11.0,52.5,-128.8,18.37029459578348
1390,10071100.0,1.0,2.0,11.0,42.36,-87.81,18.370294595783477
5726,8073163.0,1.0,2.0,11.0,50.7,-127.5,18.370294595783477
7373,3048816.0,1.0,2.0,12.15,-39.7,96.76,13.9
8134,13054682.0,1.0,2.0,12.83,75.89,-3.08,0.5
377,18092173.0,1.0,2.0,13.0,58.7,1.4,17.93224382732138
1682,16081944.0,1.0,2.0,15.0,27.9,-93.6,22.0
